initialized model with 3337 latches, 480 inputs and 1 properties
tsim: performed 46 steps
tsim: found cycle from 13
tsim: found 0 constants and 1 latch equivalences
seqsimpl: found 56 latch equivalences
seqsimpl: (3337, 480) -> (2395, 479)
checking bound 0
checking bound 1
checking bound 2
tdecomp: unrolling 2 cycles
tsim: performed 44 steps
tsim: found cycle from 11
tsim: found 3 constants and 0 latch equivalences
seqsimpl: found 10 latch equivalences
tdecomp: (2395, 1916) -> (2382, 574)
   2 : 130 3
   3 : 105 51 30
   4 : 105 51 29 1
 ... : 104 52 38 102
 ... : 114 97 129 193
 ... : 115 125 202 281
 ... : 116 133 276 361
 ... : 105 146 316 415
 ... : 92 161 393 467
 ... : 76 169 452 519
 ... : 63 154 406 564
 ... : 60 154 415 616
 ... : 59 151 438 664
 ... : 63 154 446 719
 ... : 56 150 465 767
 ... : 56 159 486 817
 ... : 57 170 491 855
 ... : 58 190 490 894
 ... : 58 198 491 945
 ... : 58 218 499 982
 ... : 58 224 499 1039
 ... : 58 231 504 1091
 ... : 58 238 505 1147
 ... : 58 244 505 1207
 ... : 58 245 508 1271
 ... : 58 245 508 1339
 ... : 58 243 512 1399
 ... : 57 243 511 1464
 ... : 59 246 526 1523
 ... : 58 246 526 1589
 ... : 58 246 526 1656
 ... : 58 246 527 1723
 ... : 58 246 526 1790
 ... : 57 253 532 1842
 ... : 57 253 563 1909
 ... : 57 253 578 1976
 ... : 56 252 574 2004
 ... : 56 252 576 2071
 ... : 56 258 577 2129
 ... : 56 258 576 2196
 ... : 56 258 580 2262
 ... : 56 258 581 2329
 ... : 55 257 580 2377
 ... : 54 257 580 2444
 ... : 54 257 583 2511
 ... : 54 257 583 2578
 ... : 54 257 583 2645
 ... : 54 257 584 2712
 ... : 54 257 585 2779
 ... : 54 257 585 2846
 ... : 53 257 586 2912
 ... : 53 257 586 2979
 ... : 53 257 586 3046
 ... : 53 257 586 3113
 ... : 53 257 586 3180
 ... : 53 257 586 3247
 ... : 53 257 586 3314
 ... : 53 257 586 3381
 ... : 53 257 586 3448
 ... : 53 257 586 3515
 ... : 53 257 586 3582
 ... : 53 257 586 3649
 ... : 53 257 586 3716
 ... : 53 257 586 3783
 ... : 53 257 586 3850
 ... : 53 257 586 3917
 ... : 53 257 586 3984
 ... : 53 257 586 4051
 ... : 53 257 586 4118
 ... : 53 257 586 4185
 ... : 53 257 586 4252
 ... : 53 257 586 4319
 ... : 53 257 586 4386
 ... : 53 257 586 4453
 ... : 53 257 586 4520
 ... : 53 257 586 4587
 ... : 53 257 586 4654
 ... : 53 257 586 4721
 ... : 53 257 586 4788
 ... : 53 257 587 4854
 ... : 53 257 587 4921
 ... : 53 257 587 4988
 ... : 53 257 587 5055
 ... : 53 257 587 5122
 ... : 53 257 587 5189
 ... : 52 258 590 5255
 ... : 52 258 590 5322
 ... : 52 258 589 5389
 ... : 52 258 589 5456
 ... : 52 258 589 5523
 ... : 52 258 589 5590
 ... : 52 258 589 5657
 ... : 52 258 589 5724
 ... : 52 258 589 5791
 ... : 52 258 590 5858
 ... : 52 258 590 5925
 ... : 52 258 590 5992
 ... : 52 258 590 6059
 ... : 52 258 590 6126
 ... : 52 258 590 6193
 ... : 52 258 590 6260
 ... : 52 258 590 6327
 ... : 52 258 590 6394
 ... : 52 258 590 6461
 ... : 52 258 590 6528
 ... : 52 258 590 6595
 ... : 52 258 590 6662
 ... : 52 258 590 6729
 ... : 52 258 590 6796
 ... : 52 258 590 6863
 ... : 52 258 590 6930
 ... : 52 258 590 6997
 ... : 52 258 590 7064
 ... : 52 258 590 7131
 ... : 52 258 590 7198
 ... : 52 258 590 7265
 ... : 52 258 590 7332
 ... : 52 258 590 7399
 ... : 52 258 590 7466
 ... : 52 258 590 7533
 ... : 52 258 590 7600
 ... : 52 258 590 7667
 ... : 52 258 590 7735
 ... : 52 258 590 7802
 ... : 52 258 590 7869
 ... : 52 258 590 7936
 ... : 52 258 590 8003
